cause,effect,sentence,source
pollution,eradicate_deaths,"Mrs. Bawumia was recently made an Ambassador for the Global Alliance for Clean Cookstoves and joins former UN Secretary General Kofi Annan, Academy Award-winning actor Julia Roberts, and Grammy-nominated musician Rocky Dawuni to work with the Alliance and its partners to raise awareness of household air pollution and encourage broader adoption of clean cooking solutions in developing countries in a bid to create cleaner environments and eradicate deaths caused by pollution from the burning of solid fuels for cooking.",wikipedia_sentence
pollution,stream_impairment,"In 2002, in the National Water Quality Inventory report to U.S. Congress, the states reported that agricultural non-point source (NPS) pollution is the leading cause of river and stream impairment and the second leading cause of impairment in lakes, ponds, and reservoirs.",wikipedia_sentence
pollution,river,"In 2002, in the National Water Quality Inventory report to U.S. Congress, the states reported that agricultural non-point source (NPS) pollution is the leading cause of river and stream impairment and the second leading cause of impairment in lakes, ponds, and reservoirs.",wikipedia_sentence
pollution,decrease_in_coral_reefs,"A decrease in coral reefs due to bleaching, pollution or overfishing usually facilitates the growth of macroalgae, which can cause spreading of this epiphytic dinoflagellate genus.",wikipedia_sentence
crime,radio_a_fictional_private_detective,"Crime and Peter Chambers brought to radio a fictional private detective created by author Henry Kane, who also produced the show and wrote for it.",wikipedia_sentence
alcoholism,disintegration_of_a_family,The novel Ničiji sinovi [Nobody's Sons] is a story about the disintegration of a family caused by war and alcoholism.,wikipedia_sentence
terrorism,country_close_to_the_brink,"However, Nocivelli’s dream was made more challenging by an extremely complex global situation marked by oil crises, the blocking of the energy plan, inflation, monetary chaos, unemployment and salary reductions, while armed insurrection and terrorism brought the country close to the brink.",wikipedia_sentence
slavery,moral_qualms,"Those Mormons who did affiliate with national parties generally were Democrats, who lacked moral qualms associated with polygyny and slavery – although the Liberal Party did have allies within the GOP.",wikipedia_sentence
alcoholism,joseph_ives_'_death,"Following the Civil War, the couple moved to New York City, and his alcoholism perhaps contributed to Joseph Ives' death in 1868.",wikipedia_sentence
terrorism,mutual_legal_assitance,"At an international level, he intervened in the cooperation between Sahelian States on matters of transnational criminality and terrorism, which resulted in the Mutual Legal Assitance and Extradition Convention, signed in May 2017, between Mali, Niger and Chad.",wikipedia_sentence
terrorism,extradition_convention,"At an international level, he intervened in the cooperation between Sahelian States on matters of transnational criminality and terrorism, which resulted in the Mutual Legal Assitance and Extradition Convention, signed in May 2017, between Mali, Niger and Chad.",wikipedia_sentence
alcoholism,violent_crime_in_south_korea,"However, alcoholism is associated with violent crime in South Korea, with about 2 out of every 5 violent crime cases perpetrated by someone under the influence of alcohol.",wikipedia_sentence
plato,redirected_the_traditional_reading_plan,"It helped groom a new generation of Plato students, and has redirected the traditional reading plan usually associated with Plato.",wikipedia_sentence
pollution,ecological_disasters,"Metal Max Xeno takes place in the former location of Tokyo Bay, now a desert referred to as ""Distokio"" by its inhabitants, approximately a century after the ""Great Annihilation"" in which the supercomputer NOA attempted to destroy humanity in order to prevent further ecological disasters caused by pollution.",wikipedia_sentence
prostitution,considerable_amount_of_income,"Underground liquor establishments were common in the town, and prostitution brought in a considerable amount of income.",wikipedia_sentence
terrorism,improving_governance_within_regions,"After the launch of the IIJ, the International Centre for Counter-Terrorism suggested in a press release that the focus of the IIJ wouldn't only be focused at improving governance within regions associated with terrorism, but would also work to strengthen criminal justice systems and also build regional judicial systems to improve local policing in areas of the world that had been previously neglected.",wikipedia_sentence
pollution,pneumonia,"It was here that she found the cure for “Smokey City pneumonia”, which was a type of pneumonia caused by the pollution and smog in Pittsburgh.",wikipedia_sentence
pollution,significant_losses_in_the_number_and_diversity_of_species,Pollution and other impairments led to significant losses in the number and diversity of species by the 1960s.,wikipedia_sentence
sea_level_rise,erosion_on_mounds,"One cause of erosion on mounds has been sea level rise, and many mounds that were formerly on higher ground are now surrounded by water, while other sites used by Native Americans are probably now covered by water.",wikipedia_sentence
pollution,higher_level_of_disease_in_modern_society,"Mey claims that pollution and stress are causing a higher level of disease in modern society than prior eras through a form of cellular degeneration, and that meditation and emotional awareness can help with this.",wikipedia_sentence
armenian_genocide,perishment_of_armenians_from_the_region,"The Chechen refugees intermingled with both the local Armenian and Kurdish population, but since the Armenian genocide resulted in the perishment of Armenians from the region, the Chechens only went through a kurdification.",wikipedia_sentence
terrorism,events,"On July 21, 2017, Foster the People released its third album, Sacred Hearts Club, an album influenced by the global issues of the current times and the sentiment that Foster felt for those affected by events associated with terrorism, racism, homophobia, and elections.",wikipedia_sentence
censorship,romance_between_the_two_leads,"The original novel was changed in the show to be a bromance, rather than romance between the two leads due to the censorship.",wikipedia_sentence
illegal_drugs,kennedy_'s_overdose_death,"For two years, he investigated the cocaine suppliers that provided the illegal drugs that led to Kennedy's overdose death.",wikipedia_sentence
alcoholism,drinks_large_amounts_over_a_long_period,,wikipedia_infobox
alcoholism,difficulty_cutting_down,,wikipedia_infobox
alcoholism,acquiring_and_drinking_alcohol_takes_up_a_lot_of_time,,wikipedia_infobox
alcoholism,usage_results_in_problems,,wikipedia_infobox
alcoholism,withdrawal_occurs_when_stopping,,wikipedia_infobox
alcoholism,alcohol_tolerance_has_occurred,,wikipedia_infobox
alcoholism,osteoporosis,,wikipedia_infobox
alcoholism,scurvy,,wikipedia_infobox
alcoholism,burn,,wikipedia_infobox
alcoholism,gangrene,,wikipedia_infobox
alcoholism,necrotizing_fasciitis,,wikipedia_infobox
alcoholism,dysautonomia,,wikipedia_infobox
alcoholism,subarachnoid_hemorrhage,,wikipedia_infobox
alcoholism,dupuytren_'s_contracture,,wikipedia_infobox
alcoholism,aspiration_pneumonia,,wikipedia_infobox
censorship,cuban_exile_diaspora,,wikipedia_infobox
alcoholism,intracerebral_hemorrhage,,wikipedia_infobox
capitalism,protests_of_1968,,wikipedia_infobox
alcoholism,tuberculous_meningitis,,wikipedia_infobox
alcoholism,paracetamol_poisoning,,wikipedia_infobox
world_war_i,revolutions_of_1917–1923,,wikipedia_infobox
pollution,2013_kyrgyzstan_protests,,wikipedia_infobox
crime,bolivarian_diaspora,,wikipedia_infobox
censorship,bolivarian_diaspora,,wikipedia_infobox
pollution,ganga_mahasabha,,wikipedia_infobox
crime,crisis_in_venezuela,,wikipedia_infobox
crime,venezuelan_diaspora,,wikipedia_infobox
censorship,venezuelan_diaspora,,wikipedia_infobox
